Month,Theme,abc13.com,abc7news.com,autonews.com,boston.com,bostonherald.com,breitbart.com,cbsnews.com,chicagotribune.com,denverpost.com,fox2now.com,foxnews.com,gothamist.com,huffingtonpost.com,kdvr.com,kron4.com,ktla.com,kxan.com,latimes.com,laweekly.com,mercurynews.com,miamiherald.com,miaminewtimes.com,nbcchicago.com,nbclosangeles.com,nbcnews.com,nbcnewyork.com,nbcphiladelphia.com,nbcsandiego.com,nbcwashington.com,newsday.com,newsmax.com,newsweek.com,npr.org,nydailynews.com,nypost.com,nytimes.com,observer.com,philly.com,phillyvoice.com,politico.com,seattlepi.com,seattletimes.com,stltoday.com,theonion.com,twincities.com,usatoday.com,villagevoice.com,westword.com,wgntv.com,wtop.com
Jun-18,social,4534,3929,663,3407,7469,6564,5226,10233,2409,1716,16045,339,4611,1164,1149,2543,953,7797,153,3895,24369,416,754,1027,19548,1134,640,837,978,3876,8502,6395,3859,7791,5812,12543,541,7953,357,6997,14238,20860,25386,83,1264,6276,198,600,1500,9668
Jun-18,conflict,6811,5944,1044,5074,11365,9850,7779,15126,3619,2602,24020,519,6874,1738,1745,3773,1382,11872,238,5872,36870,658,1169,1543,29821,1682,974,1293,1464,5858,12847,9824,5851,11825,8787,18948,823,11929,554,10510,21361,30915,38356,121,1868,9553,306,909,2213,14338
Jun-18,env,1790,1609,298,1375,2874,2618,2038,4022,989,669,6556,147,1821,471,481,1019,388,3118,48,1510,9841,215,319,389,7953,458,235,328,382,1612,3346,2624,1515,3155,2333,5049,232,3295,144,2832,5781,8246,10371,37,513,2636,72,231,645,3914
Jun-18,health,3450,3061,550,2549,5683,4988,4019,7668,1779,1313,12389,257,3475,889,908,1971,731,5990,122,2872,18770,330,632,782,15185,846,502,655,775,3004,6422,4948,2985,5938,4494,9598,408,6217,277,5352,10922,15755,19285,60,935,4852,168,479,1197,7400
Jun-18,eco,2324,2001,341,1684,3697,3303,2644,4977,1212,891,7999,162,2328,572,602,1270,445,3964,72,1942,12190,204,412,519,9946,582,296,430,474,1939,4263,3185,1952,4029,2818,6350,268,4058,187,3522,7110,10261,12743,37,624,3253,99,295,737,4862
Mar-18,social,4467.0,4235.0,668.0,2692.0,11131.0,6875.0,5773.0,11578.0,3489.0,2015.0,18747.0,,4852.0,1156.0,1425.0,2046.0,1103.0,8918.0,87.0,4514.0,24595.0,433.0,822.0,1033.0,19040.0,968.0,811.0,781.0,1077.0,4465.0,7791.0,7075.0,4737.0,23016.0,6008.0,17015.0,803.0,8763.0,536.0,7252.0,11551.0,23618.0,24687.0,140.0,1321.0,6629.0,286.0,534.0,1223.0,9598.0
Mar-18,conflict,6740.0,6394.0,1050.0,4023.0,16747.0,10406.0,8641.0,17336.0,5390.0,2981.0,28115.0,,7175.0,1734.0,2192.0,3091.0,1626.0,13377.0,148.0,6732.0,36872.0,652.0,1190.0,1514.0,28843.0,1478.0,1158.0,1214.0,1642.0,6684.0,11871.0,10579.0,7136.0,34799.0,8969.0,25718.0,1200.0,13092.0,817.0,10870.0,17575.0,35392.0,37490.0,213.0,1974.0,10136.0,428.0,798.0,1881.0,14463.0
Mar-18,env,1833.0,1717.0,286.0,1122.0,4422.0,2751.0,2248.0,4714.0,1449.0,750.0,7664.0,,1892.0,462.0,579.0,800.0,427.0,3532.0,38.0,1775.0,9816.0,183.0,327.0,385.0,7683.0,405.0,320.0,331.0,426.0,1880.0,3247.0,2864.0,1863.0,9347.0,2360.0,6862.0,298.0,3411.0,215.0,2903.0,4771.0,9569.0,10071.0,51.0,493.0,2675.0,119.0,207.0,494.0,3930.0
Mar-18,health,3457.0,3260.0,524.0,2072.0,8468.0,5356.0,4452.0,8944.0,2733.0,1556.0,14434.0,,3687.0,864.0,1096.0,1599.0,825.0,6897.0,76.0,3415.0,18668.0,312.0,617.0,781.0,14628.0,735.0,601.0,620.0,825.0,3380.0,6019.0,5375.0,3524.0,17560.0,4600.0,13114.0,614.0,6650.0,393.0,5594.0,8800.0,18034.0,18960.0,99.0,968.0,5093.0,192.0,412.0,924.0,7390.0
Mar-18,eco,2279.0,2124.0,364.0,1383.0,5539.0,3521.0,2859.0,5795.0,1787.0,980.0,9425.0,,2399.0,573.0,719.0,1046.0,519.0,4500.0,50.0,2247.0,12176.0,206.0,411.0,478.0,9540.0,500.0,405.0,382.0,527.0,2265.0,3923.0,3544.0,2339.0,11352.0,3013.0,8537.0,423.0,4323.0,277.0,3715.0,5813.0,11891.0,12373.0,67.0,649.0,3436.0,139.0,252.0,641.0,4735.0
